file,url,folder,title,words,unique_shingles,unique_share,inbound
knowledge-center/article-006.html,https://pishtaj.ir/knowledge-center/article-006.html,knowledge-center,ترانسمیتر سطح هیدرواستاتیک | پیشرو تجهیز فرتاک,1724,103,0.075,24
knowledge-center/article-007.html,https://pishtaj.ir/knowledge-center/article-007.html,knowledge-center,کالیبراسیون ترانسمیتر دما | پیشرو تجهیز فرتاک,1728,104,0.075,7
knowledge-center/article-052.html,https://pishtaj.ir/knowledge-center/article-052.html,knowledge-center,مقایسه برندهای ترانسمیتر صنعتی | پیشرو تجهیز فرتاک,1726,104,0.075,1
knowledge-center/astm-a53-gr-b.html,https://pishtaj.ir/knowledge-center/astm-a53-gr-b.html,knowledge-center,مشخصات لوله ASTM A53 Gr.B | پیشرو تجهیز فرتاک,1720,104,0.075,10
knowledge-center/incoterms-2024.html,https://pishtaj.ir/knowledge-center/incoterms-2024.html,knowledge-center,Incoterms 2024 | پیشرو تجهیز فرتاک,1721,104,0.075,3
knowledge-center/a53-gr-b.html,https://pishtaj.ir/knowledge-center/a53-gr-b.html,knowledge-center,راهنمای خرید لوله A53 Gr.B | پیشرو تجهیز فرتاک,1726,105,0.076,4
knowledge-center/api-617.html,https://pishtaj.ir/knowledge-center/api-617.html,knowledge-center,API 617 | پیشرو تجهیز فرتاک,1711,105,0.076,1
knowledge-center/ndt-ut.html,https://pishtaj.ir/knowledge-center/ndt-ut.html,knowledge-center,بازرسی NDT با تست فراصوت (UT) | پیشرو تجهیز فرتاک,1733,105,0.076,4
knowledge-center/sf6.html,https://pishtaj.ir/knowledge-center/sf6.html,knowledge-center,کلید SF6 | پیشرو تجهیز فرتاک,1730,105,0.076,2
knowledge-center/article-008.html,https://pishtaj.ir/knowledge-center/article-008.html,knowledge-center,ترانسفورماتور قدرت | پیشرو تجهیز فرتاک,1728,106,0.077,1
knowledge-center/article-041.html,https://pishtaj.ir/knowledge-center/article-041.html,knowledge-center,ترانسمیتر سطح التراسونیک | پیشرو تجهیز فرتاک,1729,106,0.077,1
knowledge-center/hplc-gc.html,https://pishtaj.ir/knowledge-center/hplc-gc.html,knowledge-center,راهنمای تجهیزات HPLC و GC در آزمایشگاه | پیشرو تجهیز فرتاک,1736,106,0.076,2
knowledge-center/ndt-rt.html,https://pishtaj.ir/knowledge-center/ndt-rt.html,knowledge-center,بازرسی NDT با تست رادیوگرافی (RT) | پیشرو تجهیز فرتاک,1731,106,0.077,4
knowledge-center/pmi-positive-material-identification.html,https://pishtaj.ir/knowledge-center/pmi-positive-material-identification.html,knowledge-center,راهنمای PMI (Positive Material Identification),1738,107,0.077,1
knowledge-center/api-610.html,https://pishtaj.ir/knowledge-center/api-610.html,knowledge-center,API 610 | پیشرو تجهیز فرتاک,1738,108,0.078,3
knowledge-center/transit-time-doppler.html,https://pishtaj.ir/knowledge-center/transit-time-doppler.html,knowledge-center,فلومتر اولتراسونیک | پیشرو تجهیز فرتاک,1728,108,0.078,1
knowledge-center/a333-gr-6.html,https://pishtaj.ir/knowledge-center/a333-gr-6.html,knowledge-center,راهنمای کامل لوله A333 Gr.6 برای دمای پایین؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1735,109,0.079,3
knowledge-center/article-059.html,https://pishtaj.ir/knowledge-center/article-059.html,knowledge-center,کنتاکتور و بی متال | پیشرو تجهیز فرتاک,1735,109,0.079,1
knowledge-center/mfc-mass-flow-controller.html,https://pishtaj.ir/knowledge-center/mfc-mass-flow-controller.html,knowledge-center,راهنمای MFC (Mass Flow Controller) | پیشرو تجهیز فرتاک,1723,110,0.08,2
knowledge-center/article-004.html,https://pishtaj.ir/knowledge-center/article-004.html,knowledge-center,راهنمای آب‌بندی شیرآلات صنعتی | پیشرو تجهیز فرتاک,1730,111,0.08,24
knowledge-center/article-021.html,https://pishtaj.ir/knowledge-center/article-021.html,knowledge-center,انتخاب شیر برای سرویس بخار | پیشرو تجهیز فرتاک,1733,111,0.08,1
knowledge-center/float-vibrating-capacitance.html,https://pishtaj.ir/knowledge-center/float-vibrating-capacitance.html,knowledge-center,سوئیچ سطح | پیشرو تجهیز فرتاک,1728,111,0.08,1
knowledge-center/profibus-profinet.html,https://pishtaj.ir/knowledge-center/profibus-profinet.html,knowledge-center,راهنمای شبکه Profibus و Profinet | پیشرو تجهیز فرتاک,1735,111,0.08,1
knowledge-center/article-023.html,https://pishtaj.ir/knowledge-center/article-023.html,knowledge-center,انتخاب شیر برای خطوط گاز | پیشرو تجهیز فرتاک,1732,113,0.081,1
knowledge-center/asme-b16-9.html,https://pishtaj.ir/knowledge-center/asme-b16-9.html,knowledge-center,ASME B16.9 | پیشرو تجهیز فرتاک,1750,113,0.081,5
knowledge-center/article-031.html,https://pishtaj.ir/knowledge-center/article-031.html,knowledge-center,مقایسه برندهای شیرآلات اروپایی و آسیایی | پیشرو تجهیز فرتاک,1738,114,0.082,1
knowledge-center/asme-b16-34.html,https://pishtaj.ir/knowledge-center/asme-b16-34.html,knowledge-center,استاندارد ASME B16.34 | پیشرو تجهیز فرتاک,1718,114,0.082,3
knowledge-center/article-014.html,https://pishtaj.ir/knowledge-center/article-014.html,knowledge-center,تامین تجهیزات خطوط لوله انتقال | پیشرو تجهیز فرتاک,1727,115,0.083,1
knowledge-center/vendor-qualification.html,https://pishtaj.ir/knowledge-center/vendor-qualification.html,knowledge-center,راهنمای تأیید صلاحیت تامین‌کننده (Vendor Qualification),1741,115,0.082,4
knowledge-center/article-027.html,https://pishtaj.ir/knowledge-center/article-027.html,knowledge-center,مقایسه شیر فولادی و چدنی | پیشرو تجهیز فرتاک,1737,116,0.083,1
knowledge-center/cerabar.html,https://pishtaj.ir/knowledge-center/cerabar.html,knowledge-center,ترانسمیتر فشار اندرس هاسر Cerabar | پیشرو تجهیز فرتاک,1744,116,0.083,1
knowledge-center/din-ansi.html,https://pishtaj.ir/knowledge-center/din-ansi.html,knowledge-center,مقایسه استاندارد DIN و ANSI در پایپینگ | پیشرو تجهیز فرتاک,1740,116,0.083,2
knowledge-center/dpt.html,https://pishtaj.ir/knowledge-center/dpt.html,knowledge-center,ترانسمیتر اختلاف فشار DPT | پیشرو تجهیز فرتاک,1750,116,0.083,3
knowledge-center/asme-b16-5.html,https://pishtaj.ir/knowledge-center/asme-b16-5.html,knowledge-center,ASME B16.5 | پیشرو تجهیز فرتاک,1754,117,0.084,5
knowledge-center/asme-b31-3.html,https://pishtaj.ir/knowledge-center/asme-b31-3.html,knowledge-center,ASME B31.3 | پیشرو تجهیز فرتاک,1723,117,0.084,3
knowledge-center/astm-a105-astm-a350-lf2.html,https://pishtaj.ir/knowledge-center/astm-a105-astm-a350-lf2.html,knowledge-center,مقایسه ASTM A105 و ASTM A350 LF2 | پیشرو تجهیز فرتاک,1738,117,0.084,3
knowledge-center/pinch-valve.html,https://pishtaj.ir/knowledge-center/pinch-valve.html,knowledge-center,Pinch Valve | پیشرو تجهیز فرتاک,1728,117,0.084,9
knowledge-center/article-003.html,https://pishtaj.ir/knowledge-center/article-003.html,knowledge-center,راهنمای انتخاب شیر بر اساس کلاس فشار | پیشرو تجهیز فرتاک,1733,118,0.084,24
knowledge-center/astm-a105.html,https://pishtaj.ir/knowledge-center/astm-a105.html,knowledge-center,ASTM A105 | پیشرو تجهیز فرتاک,1733,118,0.084,10
knowledge-center/astm-a234-wpb.html,https://pishtaj.ir/knowledge-center/astm-a234-wpb.html,knowledge-center,ASTM A234 WPB | پیشرو تجهیز فرتاک,1733,118,0.084,2
knowledge-center/astm-a403-wp304-wp316.html,https://pishtaj.ir/knowledge-center/astm-a403-wp304-wp316.html,knowledge-center,ASTM A403 WP304/WP316 | پیشرو تجهیز فرتاک,1735,118,0.084,1
knowledge-center/diaphragm-valve.html,https://pishtaj.ir/knowledge-center/diaphragm-valve.html,knowledge-center,Diaphragm Valve | پیشرو تجهیز فرتاک,1729,118,0.085,15
knowledge-center/mv-iec-62271.html,https://pishtaj.ir/knowledge-center/mv-iec-62271.html,knowledge-center,تابلو MV | پیشرو تجهیز فرتاک,1750,118,0.084,4
knowledge-center/3-way-valve-l-port-t-port.html,https://pishtaj.ir/knowledge-center/3-way-valve-l-port-t-port.html,knowledge-center,شیر سه راهه (3-Way Valve) | پیشرو تجهیز فرتاک,1736,119,0.086,2
knowledge-center/article-001.html,https://pishtaj.ir/knowledge-center/article-001.html,knowledge-center,تست هیدرواستاتیک لوله | پیشرو تجهیز فرتاک,1737,119,0.086,24
knowledge-center/astm-a182-f304-f316.html,https://pishtaj.ir/knowledge-center/astm-a182-f304-f316.html,knowledge-center,ASTM A182 F304/F316 | پیشرو تجهیز فرتاک,1728,120,0.086,1
knowledge-center/distribution-transformer.html,https://pishtaj.ir/knowledge-center/distribution-transformer.html,knowledge-center,ترانسفورماتور توزیع (Distribution Transformer),1741,120,0.086,3
knowledge-center/ghz-80.html,https://pishtaj.ir/knowledge-center/ghz-80.html,knowledge-center,ترانسمیتر سطح راداری GHz 80 | پیشرو تجهیز فرتاک,1747,120,0.086,2
knowledge-center/lv-iec-61439.html,https://pishtaj.ir/knowledge-center/lv-iec-61439.html,knowledge-center,تابلو LV | پیشرو تجهیز فرتاک,1754,120,0.086,2
knowledge-center/pilot-operated-valve.html,https://pishtaj.ir/knowledge-center/pilot-operated-valve.html,knowledge-center,شیر پایلوت (Pilot Operated Valve) | پیشرو تجهیز فرتاک,1736,120,0.086,1
knowledge-center/surge-arrester.html,https://pishtaj.ir/knowledge-center/surge-arrester.html,knowledge-center,رله برقگیر (Surge Arrester) | پیشرو تجهیز فرتاک,1746,120,0.086,2
knowledge-center/ut.html,https://pishtaj.ir/knowledge-center/ut.html,knowledge-center,راهنمای تست UT لوله (فراصوت) | پیشرو تجهیز فرتاک,1736,120,0.086,2
